"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/01021","","Chilton County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01023","","Choctaw County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01025","","Clarke County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01027","","Clay County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01029","","Cleburne County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01031","","Coffee County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01033","","Colbert County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01035","","Conecuh County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01037","","Coosa County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01039","","Covington County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01041","","Crenshaw County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01043","","Cullman County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01045","","Dale County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01047","","Dallas County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",70.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01049","","DeKalb County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01051","","Elmore County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01053","","Escambia County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",66.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01055","","Etowah County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01057","","Fayette County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01059","","Franklin County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01061","","Geneva County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01063","","Greene County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",72.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01065","","Hale County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01067","","Henry County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01069","","Houston County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01071","","Jackson County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01073","","Jefferson County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01075","","Lamar County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01077","","Lauderdale County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01079","","Lawrence County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01081","","Lee County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01083","","Limestone County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01085","","Lowndes County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",70.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01087","","Macon County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",69.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01089","","Madison County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01091","","Marengo County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01093","","Marion County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01095","","Marshall County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01097","","Mobile County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",68.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01099","","Monroe County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01101","","Montgomery County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01103","","Morgan County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01105","","Perry County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",71.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01107","","Pickens County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01109","","Pike County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01111","","Randolph County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01113","","Russell County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01115","","St. Clair County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01117","","Shelby County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",63.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01119","","Sumter County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",70.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01121","","Talladega County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",67.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01123","","Tallapoosa County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01125","","Tuscaloosa County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",66.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01127","","Walker County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",64.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01129","","Washington County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",65.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01131","","Wilcox County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",70.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/01133","","Winston County","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",62.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02013","","Aleutians East Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",55.5,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02016","","Aleutians West Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",53,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02020","","Anchorage Municipality","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",52.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02050","","Bethel Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",52.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02060","","Bristol Bay Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",49.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02063","","Chugach Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",51.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02066","","Copper River Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",52.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02068","","Denali Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",53.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02070","","Dillingham Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",50.8,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02090","","Fairbanks North Star Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",51.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02100","","Haines Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",53.1,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02105","","Hoonah-Angoon Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",51.9,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02110","","Juneau City and Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",49.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02122","","Kenai Peninsula Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",50.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02130","","Ketchikan Gateway Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",53.6,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02150","","Kodiak Island Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",53.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02158","","Kusilvak Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",54.4,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02164","","Lake and Peninsula Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",52.2,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02170","","Matanuska-Susitna Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",50.3,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02180","","Nome Census Area","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",51.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
"geoId/02185","","North Slope Borough","Percent_Person_18OrMoreYears_WithHighBloodPressure_ReceivedTakingBloodPressureMedication","2021","CDC500","https://www.cdc.gov/places/index.html","100","Percent","%",49.7,"Percent of  Population With High Blood Pressure Who Are Taking Blood Pressure Medication  Among Population Who Are 18 Years or Older in Age;"
