"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/01105","","Perry County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",7763,"Population With Health Insurance"
"geoId/01107","","Pickens County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15854,"Population With Health Insurance"
"geoId/01109","","Pike County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",29825,"Population With Health Insurance"
"geoId/01111","","Randolph County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",20070,"Population With Health Insurance"
"geoId/01113","","Russell County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",50262,"Population With Health Insurance"
"geoId/01115","","St. Clair County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",82269,"Population With Health Insurance"
"geoId/01117","","Shelby County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",207689,"Population With Health Insurance"
"geoId/01119","","Sumter County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",10883,"Population With Health Insurance"
"geoId/01121","","Talladega County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",70663,"Population With Health Insurance"
"geoId/01123","","Tallapoosa County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",36720,"Population With Health Insurance"
"geoId/01125","","Tuscaloosa County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",214174,"Population With Health Insurance"
"geoId/01127","","Walker County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",56359,"Population With Health Insurance"
"geoId/01129","","Washington County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",13878,"Population With Health Insurance"
"geoId/01131","","Wilcox County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9275,"Population With Health Insurance"
"geoId/01133","","Winston County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",20671,"Population With Health Insurance"
"geoId/02013","","Aleutians East Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",2051,"Population With Health Insurance"
"geoId/02016","","Aleutians West Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",4154,"Population With Health Insurance"
"geoId/02020","","Anchorage Municipality","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",249123,"Population With Health Insurance"
"geoId/02050","","Bethel Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15696,"Population With Health Insurance"
"geoId/02060","","Bristol Bay Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",679,"Population With Health Insurance"
"geoId/02063","","Chugach Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",5788,"Population With Health Insurance"
"geoId/02066","","Copper River Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",2088,"Population With Health Insurance"
"geoId/02068","","Denali Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",1991,"Population With Health Insurance"
"geoId/02070","","Dillingham Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",3961,"Population With Health Insurance"
"geoId/02090","","Fairbanks North Star Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",80635,"Population With Health Insurance"
"geoId/02100","","Haines Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",1883,"Population With Health Insurance"
"geoId/02105","","Hoonah-Angoon Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",1874,"Population With Health Insurance"
"geoId/02110","","Juneau City and Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",29215,"Population With Health Insurance"
"geoId/02122","","Kenai Peninsula Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",50731,"Population With Health Insurance"
"geoId/02130","","Ketchikan Gateway Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",12324,"Population With Health Insurance"
"geoId/02150","","Kodiak Island Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",10509,"Population With Health Insurance"
"geoId/02158","","Kusilvak Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",7176,"Population With Health Insurance"
"geoId/02164","","Lake and Peninsula Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",684,"Population With Health Insurance"
"geoId/02170","","Matanuska-Susitna Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",91474,"Population With Health Insurance"
"geoId/02180","","Nome Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",8376,"Population With Health Insurance"
"geoId/02185","","North Slope Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9268,"Population With Health Insurance"
"geoId/02188","","Northwest Arctic Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",6186,"Population With Health Insurance"
"geoId/02195","","Petersburg Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",3008,"Population With Health Insurance"
"geoId/02198","","Prince of Wales-Hyder Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",4699,"Population With Health Insurance"
"geoId/02220","","Sitka City and Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",7026,"Population With Health Insurance"
"geoId/02230","","Skagway Municipality","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",1177,"Population With Health Insurance"
"geoId/02240","","Southeast Fairbanks Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",5648,"Population With Health Insurance"
"geoId/02261","","Valdez-Cordova Census Area","Count_Person_WithHealthInsurance","2019","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",7297,"Population With Health Insurance"
"geoId/02275","","Wrangell City and Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",1765,"Population With Health Insurance"
"geoId/02282","","Yakutat City and Borough","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",431,"Population With Health Insurance"
"geoId/02290","","Yukon-Koyukuk Census Area","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",4210,"Population With Health Insurance"
"geoId/04001","","Apache County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",49888,"Population With Health Insurance"
"geoId/04003","","Cochise County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",108819,"Population With Health Insurance"
"geoId/04005","","Coconino County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",127837,"Population With Health Insurance"
"geoId/04007","","Gila County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",47177,"Population With Health Insurance"
"geoId/04009","","Graham County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",32504,"Population With Health Insurance"
"geoId/04011","","Greenlee County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9233,"Population With Health Insurance"
"geoId/04012","","La Paz County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",14029,"Population With Health Insurance"
"geoId/04013","","Maricopa County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",3909923,"Population With Health Insurance"
"geoId/04015","","Mohave County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",191546,"Population With Health Insurance"
"geoId/04017","","Navajo County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",89478,"Population With Health Insurance"
"geoId/04019","","Pima County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",926542,"Population With Health Insurance"
"geoId/04021","","Pinal County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",373041,"Population With Health Insurance"
"geoId/04023","","Santa Cruz County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",40955,"Population With Health Insurance"
"geoId/04025","","Yavapai County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",210572,"Population With Health Insurance"
"geoId/04027","","Yuma County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",169643,"Population With Health Insurance"
"geoId/05001","","Arkansas County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15732,"Population With Health Insurance"
"geoId/05003","","Ashley County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",17297,"Population With Health Insurance"
"geoId/05005","","Baxter County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",38724,"Population With Health Insurance"
"geoId/05007","","Benton County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",258214,"Population With Health Insurance"
"geoId/05009","","Boone County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",34527,"Population With Health Insurance"
"geoId/05011","","Bradley County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",9071,"Population With Health Insurance"
"geoId/05013","","Calhoun County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",4338,"Population With Health Insurance"
"geoId/05015","","Carroll County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",24592,"Population With Health Insurance"
"geoId/05017","","Chicot County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",8603,"Population With Health Insurance"
"geoId/05019","","Clark County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",19236,"Population With Health Insurance"
"geoId/05021","","Clay County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",13294,"Population With Health Insurance"
"geoId/05023","","Cleburne County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",22858,"Population With Health Insurance"
"geoId/05025","","Cleveland County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",7209,"Population With Health Insurance"
"geoId/05027","","Columbia County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",20690,"Population With Health Insurance"
"geoId/05029","","Conway County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",19187,"Population With Health Insurance"
"geoId/05031","","Craighead County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",100526,"Population With Health Insurance"
"geoId/05033","","Crawford County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",54499,"Population With Health Insurance"
"geoId/05035","","Crittenden County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",43378,"Population With Health Insurance"
"geoId/05037","","Cross County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15389,"Population With Health Insurance"
"geoId/05039","","Dallas County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",5730,"Population With Health Insurance"
"geoId/05041","","Desha County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",10228,"Population With Health Insurance"
"geoId/05043","","Drew County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",16177,"Population With Health Insurance"
"geoId/05045","","Faulkner County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",113256,"Population With Health Insurance"
"geoId/05047","","Franklin County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",15788,"Population With Health Insurance"
"geoId/05049","","Fulton County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",10730,"Population With Health Insurance"
"geoId/05051","","Garland County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",89847,"Population With Health Insurance"
"geoId/05053","","Grant County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",16741,"Population With Health Insurance"
"geoId/05055","","Greene County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",41288,"Population With Health Insurance"
"geoId/05057","","Hempstead County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",17552,"Population With Health Insurance"
"geoId/05059","","Hot Spring County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",28442,"Population With Health Insurance"
"geoId/05061","","Howard County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",11034,"Population With Health Insurance"
"geoId/05063","","Independence County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",33604,"Population With Health Insurance"
"geoId/05065","","Izard County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",11815,"Population With Health Insurance"
"geoId/05067","","Jackson County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",13301,"Population With Health Insurance"
"geoId/05069","","Jefferson County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",58305,"Population With Health Insurance"
"geoId/05071","","Johnson County","Count_Person_WithHealthInsurance","2022","CensusACS5YearSurvey_HealthInsurance_StatVarAgg","https://www.census.gov/","","","",23602,"Population With Health Insurance"
